,fight_id,Win/No Contest/Draw,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time
890,9feb9500b0fedfcd,win,Arman Tsarukyan,Beneil Dariush,1,0,8,2,0,0,0,0,Lightweight,KO/TKO Punch,1,1:04
891,03eecf1926d9c77c,win,Jalin Turner,King Green,1,0,33,15,0,0,0,0,Lightweight,KO/TKO Punches,1,2:49
892,246d06693b5ca1e8,win,Deiveson Figueiredo,Rob Font,0,0,45,46,4,0,0,0,Bantamweight,U-DEC,3,5:00
893,39c4ae4624052f9f,win,Sean Brady,Kelvin Gastelum,0,0,14,18,5,0,3,0,Welterweight,SUB Kimura,3,1:43
894,20bfa549cb2cabe7,win,Joaquim Silva,Clay Guida,0,0,46,43,2,2,2,0,Lightweight,U-DEC,3,5:00
895,02713b2d25f74d43,win,Dustin Stoltzfus,Punahele Soriano,1,0,64,31,4,0,1,0,Middleweight,SUB Rear Naked Choke,2,4:10
896,626c82ed45fdcf59,win,Miesha Tate,Julia Avila,0,0,32,3,4,0,1,0,Women's Bantamweight,SUB Rear Naked Choke,3,1:15
897,0320a6a967069571,win,Cody Brundage,Zachary Reese,0,0,9,4,1,0,0,1,Middleweight,KO/TKO Slam,1,1:49
898,d0602cdc04d2c159,win,Drakkar Klose,Joe Solecki,0,0,2,1,0,1,0,0,Lightweight,KO/TKO Slam,1,1:41
899,0dc2fc8d39e226a3,win,Rodolfo Bellato,Ihor Potieria,0,1,80,73,1,0,0,0,Light Heavyweight,KO/TKO Punches,2,4:17
900,32813f5f46f045e8,win,Jared Gooden,Wellington Turman,0,0,53,37,1,1,1,0,Welterweight,SUB Rear Naked Choke,2,1:11
901,d0ac2cc5c57c4e66,win,Veronica Hardy,Jamey-Lyn Horth,0,0,43,43,1,1,0,0,Women's Flyweight,S-DEC,3,5:00
902,7990b6716a53b2cd,win,Brendan Allen,Paul Craig,0,0,32,6,2,0,2,1,Middleweight,SUB Rear Naked Choke,3,0:38
903,73ebbfb998edc1f1,win,Michael Morales,Jake Matthews,0,0,84,57,0,0,0,0,Welterweight,U-DEC,3,5:00
904,5be63144ac46f97e,win,Chase Hooper,Jordan Leavitt,0,0,1,3,0,0,1,0,Lightweight,SUB Rear Naked Choke,1,2:58
905,2ae243f518948794,win,Payton Talbott,Nick Aguirre,0,0,28,5,0,2,1,0,Bantamweight,SUB Rear Naked Choke,3,0:58
906,bd4d2522cb0d1a23,win,Amanda Ribas,Luana Pinheiro,1,0,87,55,0,1,0,0,Women's Strawweight,KO/TKO Punches,3,3:53
907,b210b99d9c1c9196,win,Myktybek Orolbai,Uros Medic,0,0,8,14,7,0,1,0,Welterweight,SUB Neck Crank,2,4:12
