Fighter_Id_1,Fighter_Id_2,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,Result_1,Result_2,Time Format,Referee,Method Details,Sig. Str. %_1,Sig. Str. %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_%_1,Head_%_2,Body_%_1,Body_%_2,Leg_%_1,Leg_%_2,Distance_%_1,Distance_%_2,Clinch_%_1,Clinch_%_2,Ground_%_1,Ground_%_2,Total Str._%_1,Total Str._%_2,Sig. Str._%_1,Sig. Str._%_2
f57a8a52ca401ed9,75e5fec9f72910ef,Nick Diaz,Gleison Tibau,0,0,24,0,0,0,1,1,Welterweight,KO/TKO Punches,2,2:27,3fed746acfd026dd,W,L,3 Rnd (5-5-5),Steve Mazzagatti,Punches to Head On Ground,0.47,0.0,1,1,1,0,197,222,0.47,0.0,0,0,0,0,0.5,0.0,0,0,0.47,0.0,0.74,0.44,0.47,0.0
69b69c0178c4004d,e670f8cc2969a789,Antoni Hardonk,Sherman Pendergarst,1,0,10,4,0,1,0,0,Heavyweight,KO/TKO Punch,1,3:15,3fed746acfd026dd,W,L,3 Rnd (5-5-5),John McCarthy,Punch to Head At Distance,0.83,0.36,0,0,0,0,0,164,0.83,0.4,0.67,0.0,1.0,0,0.88,0.0,0.75,0.0,0,0.8,0.83,0.67,0.83,0.36
a7f4d0902bb64092,d1759b2b7be9be56,James Irvin,Hector Ramirez,1,0,17,33,0,3,0,1,Light Heavyweight,KO/TKO Punch,2,2:36,3fed746acfd026dd,W,L,3 Rnd (5-5-5),Mario Yamasaki,Punch to Head At Distance,0.5,0.68,0,1,0,0,6,221,0.29,0.63,0.67,0.83,0.65,1.0,0.48,0.62,0.33,0.77,0.75,0.73,0.51,0.81,0.5,0.69
20bcc9966affb19c,821cd80aab70d5f9,Jake O'Brien,Josh Shockman,0,0,13,13,10,0,0,0,Heavyweight,U-DEC,3,5:00,3fed746acfd026dd,W,L,3 Rnd (5-5-5),Steve Mazzagatti,Alejandro Rochin27 - 30.Hector Hernandez27 - 30.Marcos Rosales27 - 30.,0.41,0.32,0,0,0,0,622,26,0.4,0.05,1.0,0.29,0,0.91,0.0,0.33,0,0,0.54,0,0.8,0.6,0.42,0.33
86dfed7cc24a9fa7,91acd6910b802a9e,Matt Serra,Chris Lytle,0,0,20,42,1,1,0,0,Welterweight,S-DEC,3,5:00,baf942f4bcb09894,W,L,3 Rnd (5-5-5),Herb Dean,Lester Griffin27 - 30.Marcos Rosales27 - 30.Glenn Trowbridge30 - 27.,0.51,0.72,0,0,0,0,494,84,0.33,0.32,0.64,0.97,0.86,1.0,0.2,0.25,0.71,0.89,0.67,0.62,0.8,0.91,0.51,0.72
622f015c81a9b13a,9fa3bd637edd9aa2,Travis Lutter,Patrick Cote,0,0,0,0,1,0,1,0,Middleweight,SUB Armbar,1,2:18,baf942f4bcb09894,W,L,3 Rnd (5-5-5),John McCarthy,Armbar From Back Control,,0.0,1,0,0,0,117,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,1.0,0.0,0,0.0
40a604761ca7d64d,7d21de9c6d7c98b2,Din Thomas,Rich Clementi,1,0,33,22,1,1,1,0,Lightweight,SUB Rear Naked Choke,2,3:11,baf942f4bcb09894,W,L,3 Rnd (5-5-5),Steve Mazzagatti,Rear Naked Choke,0.44,0.3,1,0,0,0,133,20,0.37,0.17,0.75,0.78,1.0,0.67,0.31,0.23,0.78,0.6,0.67,0,0.59,0.35,0.44,0.31
cb46dface0e28a2c,75bbd2206a15319f,Jorge Rivera,Edwin DeWees,1,0,24,6,0,0,0,0,Middleweight,KO/TKO Punches,1,2:37,baf942f4bcb09894,W,L,3 Rnd (5-5-5),Yves Lavigne,Punches to Head At Distance,0.55,0.24,0,0,0,0,15,15,0.48,0.18,0.8,1.0,0.8,0.5,0.64,0.22,0.48,0.29,0.64,0,0.55,0.27,0.56,0.24
c3ea8deeba00462b,ad32471f01e7b1a5,Pete Spratt,Jeremy Jackson,0,0,12,5,0,2,0,0,Welterweight,SUB Injury,2,1:11,baf942f4bcb09894,W,L,3 Rnd (5-5-5),Herb Dean,"Injury  
      Neck Injury",0.8,0.35,0,0,1,1,67,201,0.7,0.0,1.0,1.0,1.0,0.67,0.8,0.0,1.0,1.0,0.71,0.0,0.93,0.61,0.8,0.36
3410cf010558dc8b,0359313549d230a1,Scott Smith,Pete Sell,2,0,26,32,0,0,0,0,Middleweight,KO/TKO Punch,2,3:25,baf942f4bcb09894,W,L,3 Rnd (5-5-5),John McCarthy,Punch to Head At Distance,0.27,0.35,0,0,0,0,8,37,0.27,0.26,0.0,0.67,0.5,0.82,0.28,0.35,0.4,0.38,0.0,0,0.28,0.43,0.28,0.36
