,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
897,Vincent,Eazelle,The Real Deal,5.11,155.0,,,9,2,0,
898,Ross,Ebanez,The Boss,5.9,154.0,,Southpaw,20,10,0,
899,Brian,Ebersole,Bad Boy,6.0,170.0,73.0,Southpaw,51,18,1,
900,Roybert,Echeverria,The Unbroken,5.5,125.0,67.0,Switch,7,1,0,
901,Mark,Eddiva,,5.8,145.0,68.0,Orthodox,6,3,0,
902,Frankie,Edgar,The Answer,5.6,135.0,68.0,Orthodox,23,11,1,
903,Abdul-Kerim,Edilov,,6.2,205.0,,Orthodox,17,4,0,
904,Johnny,Eduardo,,5.7,135.0,71.0,Orthodox,28,13,0,
905,Yves,Edwards,,5.9,155.0,73.0,Southpaw,42,22,1,
906,Justin,Edwards,Fast Eddy,5.1,155.0,70.0,Orthodox,9,5,0,
907,Leon,Edwards,Rocky,6.2,170.0,74.0,Southpaw,22,5,0,
908,Te,Edwards,,5.8,155.0,72.0,Orthodox,6,3,0,
909,Adli,Edwards,,,145.0,,,4,1,0,
910,Joselyne,Edwards,La Pantera,5.8,135.0,70.0,Orthodox,16,6,0,
911,Tom,Egan,,5.11,170.0,,Orthodox,7,5,0,
912,Stephanie,Egger,,5.6,135.0,68.0,Orthodox,8,5,0,
913,Justin,Eilers,The Hammer,6.1,235.0,,Orthodox,19,7,1,
914,Jon Olav,Einemo,The Viking,6.6,253.0,,Orthodox,6,3,0,
915,Per,Eklund,,5.1,155.0,72.0,Orthodox,14,5,1,
916,John,Elam,,,,,,2,0,0,
917,Evan,Elder,The Phenom,5.1,155.0,72.0,Switch,10,2,0,
918,Billy,Elekana,Son of Susie,6.3,205.0,77.0,Southpaw,8,2,0,
919,John Paul,Elias,,6.4,205.0,,,3,1,0,
920,Joao,Elias,Alicate,5.3,125.0,64.0,Southpaw,17,4,1,
921,Saul,Elizondo,,5.7,135.0,,,6,8,0,
922,Darren,Elkins,The Damage,5.1,145.0,71.0,Orthodox,29,12,0,
923,Jake,Ellenberger,The Juggernaut,5.9,170.0,71.0,Orthodox,31,15,0,
924,Joe,Ellenberger,Excalibur,5.9,155.0,72.0,Orthodox,15,2,0,
925,Tim,Elliott,,5.7,125.0,66.0,Southpaw,22,13,1,
926,Oban,Elliott,The Welsh Gangster,6.0,170.0,72.0,Orthodox,12,3,0,
927,Eddy,Ellis,Fast,5.9,170.0,,Orthodox,21,16,1,
928,Lisa,Ellis,,5.4,115.0,,,15,11,0,
929,Elisha,Ellison,Snack Panther,,265.0,,,5,1,0,
930,Anna,Elmose,Panda,5.3,115.0,,Orthodox,3,2,0,
931,Cameron,Else,Camchida,5.9,135.0,71.0,Switch,10,6,0,
932,Aaron,Ely,The Cyborg,5.8,135.0,,,5,2,0,
933,Sovannahry,Em,The Sweet Savage,5.4,135.0,,,3,1,0,
934,Ramazan,Emeev,Gorets,5.1,170.0,76.0,Southpaw,20,6,0,
935,Aleksander,Emelianenko,,6.6,255.0,,Orthodox,23,7,0,
936,Fedor,Emelianenko,The Last Emperor,6.0,230.0,74.0,Orthodox,36,5,0,
937,Rob,Emerson,The Saint,5.9,155.0,70.0,Orthodox,18,12,0,
938,Jamall,Emmers,Pretty Boy,5.1,145.0,74.0,Orthodox,21,8,0,
939,Josh,Emmett,CC0,5.6,145.0,70.0,Orthodox,19,5,0,
940,Marius,Enache,,5.11,155.0,,,3,3,0,
941,Kolton,Englund,White Assassin,5.1,155.0,69.0,Orthodox,9,4,0,
942,Oliver,Enkamp,,6.0,170.0,77.0,Switch,7,2,0,
943,Alex,Enlund,,5.1,145.0,,Orthodox,14,2,0,
944,Kenny,Ento,Tha' Dragon,6.2,192.0,,,14,15,0,
945,Ian,Entwistle,Enty,5.5,135.0,,Orthodox,9,3,0,
946,Andy,Enz,Tank Mode,6.3,185.0,78.0,Orthodox,10,4,0,
947,Won Jin,Eoh,,5.7,160.0,,Orthodox,5,5,1,
948,Yuji,Ephoevi-Ga,The Chef,5.9,155.0,75.0,Switch,11,1,0,
949,Josh,Epps,,,130.0,,,6,7,0,
950,Abdellah,Er-Ramy,The Golden Boy,6.0,185.0,74.0,Orthodox,7,2,0,
951,Steve,Erceg,Astroboy,5.8,125.0,68.0,Orthodox,13,4,0,
952,Tom,Erikson,The Big Cat,6.3,280.0,,Orthodox,9,4,1,
953,Konstantin,Erokhin,,5.11,230.0,,Orthodox,9,3,0,
954,Julian,Erosa,Juicy J,6.1,145.0,74.0,Southpaw,31,13,0,
955,Jarno,Errens,,5.11,145.0,73.0,Orthodox,14,6,1,
956,Ivan,Erslan,,6.2,205.0,72.0,Orthodox,14,5,0,
957,Nick,Ertl,,5.9,155.0,,,8,6,0,
958,Chel,Erwin-Davis,The First Sun,6.0,170.0,,,5,1,0,
959,Bobby,Escalante,,,130.0,,,5,6,0,
960,Eric,Esch,Butterbean,5.11,350.0,,Orthodox,15,10,1,
961,Pro,Escobedo,,,205.0,,,1,0,0,
962,Cole,Escovedo,Apache Kid,5.7,135.0,72.0,Orthodox,17,9,0,
963,Efrain,Escudero,Hecho En Mexico,5.9,155.0,71.0,Orthodox,28,12,0,
964,Evan,Esguerra,,,145.0,,,8,7,0,
965,Edward,Faaloloto,,,155.0,70.0,Orthodox,2,5,0,
966,Urijah,Faber,The California Kid,5.6,135.0,67.0,Orthodox,35,11,0,
967,Melinda,Fabian,,5.6,125.0,66.0,Orthodox,4,4,2,
968,Wagnney,Fabiano,The Silencer,5.6,145.0,69.0,Southpaw,16,4,0,
969,Bartosz,Fabinski,The Butcher,6.0,170.0,75.0,Orthodox,15,5,0,
970,Ron,Faircloth,,5.9,205.0,,Orthodox,33,20,0,
971,Jason,Fairn,,6.1,230.0,,,4,5,0,
972,Zarah,Fairn,Infinite,5.8,135.0,72.0,Orthodox,6,6,0,
973,Rinat,Fakhretdinov,Gladiator,6.0,170.0,74.0,Orthodox,23,1,1,
974,Maiquel,Falcao,Big Rig,5.11,185.0,,Orthodox,37,10,0,
975,Pedro,Falcao,Pedrinho,5.6,135.0,66.0,Orthodox,16,5,0,
976,Brodie,Farber,,6.1,170.0,,Orthodox,16,7,0,
977,Joao Paulo,Faria,,5.9,155.0,,,1,1,0,
978,Kalindra,Faria,,5.7,125.0,,Switch,18,8,1,
979,Jair,Farias,Chosen,6.1,145.0,76.0,Orthodox,10,1,0,
980,Chance,Farrar,,5.9,145.0,,Southpaw,8,3,0,
981,Rico,Farrington,The Triggerman,6.4,170.0,79.0,Southpaw,7,3,0,
982,Kelly,Faszholz,,5.8,135.0,,Orthodox,4,2,0,
983,Rodney,Faverus,,6.0,215.0,,Southpaw,25,20,3,
984,Paul,Felder,The Irish Dragon,5.11,155.0,70.0,Orthodox,17,6,0,
985,Carlos,Felipe,Boi,6.0,245.0,75.0,Orthodox,11,2,0,
986,JP,Felty,,,170.0,,,4,5,0,
987,Feng,Pengchao,,,135.0,,,15,9,1,
988,Feng,Xiaocan,,5.7,115.0,67.0,Southpaw,10,4,0,
989,Kevin,Ferguson,Kimbo Slice,6.2,235.0,77.0,Orthodox,5,2,0,
990,Rhadi,Ferguson,,5.7,205.0,,,3,0,0,
991,Tony,Ferguson,El Cucuy,5.11,170.0,76.0,Orthodox,26,11,0,
992,Josh,Ferguson,Taz,5.5,125.0,,Orthodox,10,5,0,
993,CJ,Fernandes,,6.2,170.0,,,14,8,3,
994,Bibiano,Fernandes,,5.7,139.0,,Orthodox,20,3,0,
995,Gabriella,Fernandes,Gabi,5.6,125.0,66.0,Southpaw,11,3,0,
996,Kaue,Fernandes,,5.9,155.0,73.0,Orthodox,10,2,0,
997,Emily,Fernandez,,,,,,0,0,0,
998,Luke,Fernandez,,,205.0,,,5,0,0,
999,Lucas,Fernando,,6.3,185.0,80.0,,9,2,0,
1000,Alexandre,Ferreira,Cacareco,5.7,205.0,,Orthodox,18,6,0,
1001,Cezar,Ferreira,Mutante,6.1,185.0,78.0,Southpaw,13,8,0,
1002,Diego,Ferreira,,5.9,155.0,74.0,Orthodox,19,6,0,
1003,Erisson,Ferreira,Gato,5.6,125.0,70.0,Orthodox,12,2,0,
1004,Brunno,Ferreira,The Hulk,5.1,185.0,72.0,Orthodox,14,2,0,
1005,Scott,Ferrozzo,The Pitbull,5.11,323.0,,Orthodox,4,2,0,
1006,Timo,Feucht,,6.3,205.0,79.0,Orthodox,8,1,0,
1007,Andre,Fialho,,6.0,170.0,74.0,Orthodox,16,8,0,
1008,Drew,Fickett,The Master,5.1,155.0,70.0,Orthodox,42,21,0,
1009,Scott,Fiedler,,6.4,235.0,,Orthodox,0,1,0,
1010,Ron,Fields,Killing,6.2,200.0,,Orthodox,28,32,1,
1011,Michal,Figlak,Mad Dog,5.1,155.0,70.0,Orthodox,8,2,0,
1012,Deiveson,Figueiredo,Deus da Guerra,5.5,135.0,68.0,Orthodox,24,5,1,
1013,Francisco,Figueiredo,Sniper,5.6,125.0,68.0,Southpaw,13,5,1,
1014,Edwin,Figueroa,El Feroz,5.7,135.0,69.0,Orthodox,9,5,0,
1015,Jonathan,Figueroa,El Picante,,185.0,,,12,1,0,
1016,Paulo,Filho,,5.8,185.0,,Southpaw,23,6,3,
1017,Jafel,Filho,Pastor,5.7,125.0,68.0,Orthodox,16,4,0,
1018,Andre,Fili,Touchy,5.11,145.0,74.0,Orthodox,25,12,0,
1019,Mirko,Filipovic,Cro Cop,6.2,230.0,73.0,Southpaw,35,11,2,
1020,Brady,Fink,,6.0,183.0,,Orthodox,2,3,0,
1021,Jesse,Finney,,6.0,170.0,,,5,1,0,
1022,Jan,Finney,Cuddles,5.8,135.0,,Orthodox,11,12,0,
1023,Torrez,Finney,The Punisher,5.8,185.0,75.0,Orthodox,11,0,0,
1024,Luigi,Fioravanti,,5.8,170.0,70.0,Orthodox,26,15,0,
1025,Nick,Fiore,,5.1,155.0,72.0,Orthodox,6,2,0,
1026,Manon,Fiorot,The Beast,5.7,125.0,65.0,Orthodox,12,2,0,
1027,Luiz,Firmino,Buscape,5.6,154.0,,Orthodox,19,8,0,
1028,Spencer,Fisher,The King,5.7,155.0,68.0,Southpaw,24,9,0,
1029,Chris,Fishgold,,5.8,145.0,68.0,Orthodox,18,4,1,
1030,Bryanna,Fissori,,5.4,145.0,,,2,4,0,
1031,Jon,Fitch,,6.0,170.0,74.0,Orthodox,30,7,1,
1032,Isi,Fitikefu,Doxz,5.1,205.0,,,6,0,0,
1033,Rafael,Fiziev,Ataman,5.8,155.0,71.0,Switch,13,4,0,
1034,Colin,Fletcher,The Freakshow,6.2,155.0,,Orthodox,14,8,0,
1035,AJ,Fletcher,The Ghost,5.1,170.0,67.0,Switch,10,3,0,
1036,Nathan,Fletcher,,5.7,135.0,70.0,Orthodox,9,3,0,
1037,Jimmy,Flick,The Brick,5.7,125.0,68.0,Orthodox,17,9,0,
1038,Ty,Flores,Big Medicine,6.3,205.0,73.0,Switch,7,3,0,
1039,Alejandro,Flores,El Gallito,5.1,145.0,73.0,Orthodox,17,3,0,
1040,Kenny,Florian,KenFlo,5.1,145.0,74.0,Southpaw,14,6,0,
1041,Darrius,Flowers,Beast Mode,5.9,155.0,71.0,Orthodox,12,8,1,
1042,Cody,Floyd,,,,,,2,0,0,
1043,Bobby,Flynn,,,170.0,,,6,4,0,
1044,Caros,Fodor,The Future,5.9,155.0,74.0,Orthodox,11,6,0,
1045,Mal,Foki,Twin Tiger,5.7,220.0,,Orthodox,5,5,0,
1046,Matt,Foki,Twin Tiger,5.7,220.0,,Orthodox,5,4,0,
1047,AJ,Fonseca,,5.4,145.0,,,5,4,0,
1048,Rob,Font,,5.8,135.0,71.0,Orthodox,22,8,0,
1049,Claudionor,Fontinelle,,5.5,185.0,,Orthodox,10,15,1,
1050,Jesse,Forbes,Kid Hercules,6.2,185.0,75.0,Southpaw,15,5,0,
1051,Sterling,Ford,,5.1,155.0,,,15,7,0,
1052,Codale,Ford,Crunch Time,5.9,170.0,,,11,9,0,
1053,Raheam,Forest,Rambo,5.11,170.0,73.0,Switch,7,2,0,
1054,Jussier,Formiga,,5.5,125.0,67.0,Orthodox,23,8,0,
1055,Carol,Foro,,,115.0,,,8,1,0,
1056,Renee,Forte,,5.7,155.0,71.0,Orthodox,8,4,0,
1057,Brianna,Fortino,The Bull,5.0,115.0,62.0,Southpaw,9,3,0,
1058,Marcel,Fortuna,,6.1,205.0,74.0,Orthodox,9,3,0,
1059,Brian,Foster,The Foster Boy,5.9,170.0,71.0,Orthodox,27,10,0,
1060,Xavier,Foupa-Pokam,Professor X,6.1,185.0,,Open Stance,32,22,0,
1061,Mason,Fowler,,5.11,170.0,,,2,0,0,
1062,Hermes,Franca,,5.6,155.0,71.0,Orthodox,24,17,0,
1063,Glaico,Franca Moreira,Nego,6.0,155.0,77.0,Orthodox,15,5,0,
1064,Francisco,France,Kiko,6.0,205.0,,,13,5,1,
1065,John,Franchi,,5.6,145.0,67.0,Orthodox,6,2,0,
1066,Felipe,Franco,Negao,,205.0,,,8,0,0,
1067,Rich,Franklin,Ace,6.1,185.0,76.0,Southpaw,29,7,0,
1068,Xavier,Franklin,Mr. Benjamin,5.6,135.0,66.0,Southpaw,5,1,0,
1069,Zoila,Frausto,Warrior Princess,5.4,135.0,,Orthodox,13,5,0,
1070,Stephanie,Frausto,Lil Bovy,5.2,115.0,61.0,Orthodox,8,7,0,
1071,Zane,Frazier,Nasty,6.5,250.0,,Orthodox,4,11,0,
1072,Gary,Frazier,,6.0,245.0,,Orthodox,3,3,0,
1073,Justin,Frazier,The Grizzly Bear,6.0,265.0,75.0,Southpaw,10,3,0,
1074,Ian,Freeman,The Machine,5.11,225.0,,Orthodox,20,7,1,
1075,Jason,Freeman,,6.2,225.0,,,6,4,0,
1076,Kennedy,Freeman,The Machine 2.0,,125.0,,,6,0,0,
1077,Willamy,Freire,Chiquerim,5.8,155.0,,Orthodox,26,6,0,
1078,Patricio,Freire,Pitbull,5.6,145.0,67.0,Orthodox,37,8,0,
1079,Patricky,Freire,Pitbull,5.7,155.0,71.0,,17,8,0,
1080,Jeremy,Freitag,,6.1,205.0,,,6,10,0,
1081,Rafael,Freitas,Capoeira,,205.0,,Orthodox,3,6,0,
1082,Donavon,Frelow,,5.7,135.0,,Orthodox,6,3,0,
1083,Josh,Fremd,,6.4,185.0,76.0,Orthodox,11,6,0,
1084,Clay,French,,5.7,161.0,,Southpaw,19,7,0,
1085,Mike,French,,5.1,145.0,,,9,10,0,
1086,James,Gabert,,,178.0,,,6,4,0,
1087,Gustavo,Gabriel,,5.6,125.0,,Orthodox,13,1,0,
1088,Claudia,Gadelha,Claudinha,5.4,115.0,63.0,Orthodox,18,5,0,
1089,Alavutdin,Gadjiev,,6.2,185.0,,Orthodox,18,13,1,
1090,Magomed,Gadzhiyasulov,,6.2,205.0,75.0,Orthodox,9,1,0,
1091,Justin,Gaethje,The Highlight,5.11,155.0,70.0,Orthodox,26,5,0,
1092,Sheila,Gaff,The German Tank,5.5,135.0,,Orthodox,9,7,0,
1093,Muin,Gafurov,Tajik,5.7,135.0,68.0,Orthodox,20,6,0,
1094,Mitch,Gagnon,,5.5,135.0,65.0,Southpaw,12,5,0,
1095,Brandon,Gaines,,6.3,185.0,,,5,21,0,
1096,Travis,Galbraith,The Gladiator,6.0,170.0,,Orthodox,18,7,0,
1097,Dave,Galera,Scarecrow,5.11,135.0,,Orthodox,5,1,0,
1098,Zelg,Galesic,Benkei,6.2,185.0,,Orthodox,11,9,0,
1099,Mickey,Gall,,6.2,170.0,74.0,Switch,7,7,0,
1100,Daniel,Gallemore,Big Kansas,6.5,265.0,,,7,3,0,
1101,Tom,Gallicchio,Da Tank,5.1,170.0,,Southpaw,19,10,0,
1102,Turrell,Galloway,,5.3,145.0,,,8,6,0,
1103,Eric,Galvan,,,155.0,,,0,0,0,
1104,Andre,Galvao,,5.7,168.0,,Orthodox,5,2,0,
1105,Marcos,Galvao,Loro,5.7,135.0,,Orthodox,18,8,1,
1106,Lucas,Gamaza,,,170.0,,,8,4,0,
1107,Joey,Gambino,The Raging Warrior,5.7,145.0,,Orthodox,9,2,0,
1108,Manvel,Gamburyan,The Anvil,5.5,135.0,67.0,Orthodox,15,10,0,
1109,Mateusz,Gamrot,Gamer,5.1,155.0,70.0,Southpaw,25,3,0,
1110,Shamil,Gamzatov,,6.2,205.0,76.0,Orthodox,14,1,0,
1111,Ryan,Gandra,Problema,6.1,185.0,74.0,Orthodox,8,1,0,
1112,Ariel,Gandulla,,5.11,205.0,,Orthodox,7,9,0,
1113,Ciryl,Gane,Bon Gamin,6.4,245.0,81.0,Orthodox,13,2,0,
1114,Sean,Gannon,The Cannon,6.3,265.0,,Southpaw,2,1,0,
1115,Thomas,Gantt,,,185.0,,,10,0,0,
1116,Junye,Gao,,,125.0,,,19,12,0,
1117,Eduardo,Garagorri,,5.9,145.0,70.0,Orthodox,13,2,0,
1118,Cody,Garbrandt,No Love,5.8,135.0,65.0,Orthodox,14,7,0,
1119,Leonard,Garcia,Bad Boy,5.1,145.0,68.0,Orthodox,18,13,1,
1120,Edgar,Garcia,,5.1,170.0,71.0,Orthodox,14,5,0,
1121,Alejandro,Garcia,Alex,5.7,145.0,,,14,10,0,
1122,Alex,Garcia,The Dominican Nightmare,5.9,170.0,72.0,Orthodox,15,6,0,
1123,Nick,Garcia,Nitro,5.4,125.0,,,8,3,0,
1124,Steve,Garcia,Mean Machine,6.0,145.0,75.0,Southpaw,18,5,0,
1125,Elias,Garcia,,5.5,125.0,67.0,Southpaw,6,2,0,
1126,Rafa,Garcia,Gifted,5.7,155.0,70.0,Orthodox,17,4,0,
1127,Fernie,Garcia,,5.7,135.0,67.0,Orthodox,10,5,0,
1128,Rulon,Gardner,,6.3,265.0,,Orthodox,1,0,0,
1129,David,Gardner,,5.11,155.0,,Orthodox,18,21,0,
1130,Pablo,Garza,The Scarecrow,6.1,145.0,73.0,Orthodox,12,4,0,
1131,Azamat,Gashimov,,5.6,125.0,,Orthodox,8,3,0,
1132,Brian,Gassaway,,6.1,170.0,,Orthodox,29,20,2,
1133,Kelvin,Gastelum,,5.9,185.0,71.0,Southpaw,20,10,0,
1134,Willie,Gates,,5.8,125.0,72.0,Orthodox,12,7,0,
1135,Sean,Gauci,,5.5,125.0,64.0,Switch,10,1,0,
1136,Louis,Gaudinot,Goodnight,5.3,125.0,63.0,Orthodox,8,4,0,
1137,Ateba,Gautier,The Silent Assassin,6.4,185.0,81.0,Switch,8,1,0,
1138,Manuel,Gaxhja,,5.8,155.0,,Switch,7,0,0,
1139,Shamil,Gaziev,,6.4,265.0,78.0,Orthodox,14,1,0,
1140,Charlene,Gellner,Princess,5.2,125.0,,,0,4,0,
1141,Chad,George,Savage,5.6,135.0,68.0,Southpaw,16,8,0,
1142,Paul,Georgieff,,6.2,170.0,,Orthodox,6,2,0,
1143,Brian,Geraghty,Duke,5.7,155.0,,Orthodox,26,18,1,
1144,Derek,Getzel,The Pretzel,6.0,155.0,,,8,5,0,
1145,Karine,Gevorgyan,The Princess,5.4,125.0,63.0,,3,3,0,
1146,Yanis,Ghemmouri,The Desert Warrior,5.9,135.0,69.0,Orthodox,12,3,0,
1147,Darrel,Gholar,,5.8,194.0,,Orthodox,5,6,0,
1148,Tiki,Ghosn,,5.1,170.0,,Orthodox,10,7,1,
1149,Christos,Giagos,The Spartan,5.1,155.0,71.0,Orthodox,20,12,0,
1150,Joe,Giannetti,,6.0,155.0,74.0,Southpaw,6,1,0,
1151,Nick,Gibbons,,5.1,155.0,,,2,1,0,
1152,James,Giboo,,5.11,170.0,,Orthodox,13,5,0,
1153,Lance,Gibson,Fearless,5.9,185.0,,Orthodox,4,5,0,
1154,Lee,Gibson,Lethal,5.7,155.0,,,12,4,0,
1155,Cody,Gibson,The Renegade,5.1,135.0,71.0,Orthodox,22,11,0,
1156,Chase,Gibson,El Guero,5.1,155.0,72.0,Orthodox,9,5,0,
1157,Kenny,Giddens,,5.11,155.0,,,12,7,0,
1158,Thomas,Gifford,The Young Lion,6.1,155.0,75.0,Orthodox,14,9,0,
1159,Joey,Gilbert,,5.11,155.0,,Orthodox,2,3,0,
1160,Trevin,Giles,,6.0,170.0,74.0,Orthodox,16,7,0,
1161,Kultar,Gill,Black Mamba,6.0,154.0,,Orthodox,12,8,0,
1162,Jesse,Gillespie,,,185.0,,,3,2,0,
1163,Gregor,Gillespie,The Gift,5.7,155.0,71.0,Orthodox,14,1,0,
1164,Jason,Gilliam,,6.0,170.0,,Orthodox,14,9,0,
1165,Micheal,Gillmore,The Gentleman,5.11,170.0,72.0,Orthodox,6,5,0,
1166,Krishaun,Gilmore,,,,,,0,1,0,
1167,Alex,Gilpin,,5.7,145.0,,Orthodox,11,1,0,
1168,Bob,Gilstrap,,6.3,200.0,,Orthodox,5,7,0,
1169,Eperaim,Ginting,The Wolfman,5.4,135.0,64.0,Orthodox,6,1,0,
1170,Demetrius,Gioulacos,,5.11,185.0,,,0,1,0,
1171,Billy,Giovanella,Wolverine,5.8,125.0,,,9,5,0,
1172,He-Man,Gipson,,,,,,1,2,0,
1173,Israel,Giron,El Rojo,5.8,155.0,,,19,5,0,
1174,Brandon,Girtz,Cold Roll,5.7,155.0,,,14,7,0,
1175,Jason,Glaza,,6.0,230.0,,,3,2,0,
1176,Mike,Glenn,,,205.0,,,5,6,0,
1177,Ricky,Glenn,The Gladiator,6.0,170.0,70.0,Southpaw,22,9,2,
1178,Ivan,Gnizditskiy,,,205.0,,,5,0,0,
1179,Mark,Godbeer,The Hand Of,6.4,240.0,77.0,Orthodox,13,4,0,
1180,Clint,Godfrey,,5.6,135.0,,Southpaw,13,3,0,
1181,Loopy,Godinez,,5.2,115.0,61.0,Orthodox,14,5,0,
1182,Jason,Godsey,,6.2,230.0,,Orthodox,16,16,0,
1183,Billy Ray,Goff,,5.1,170.0,72.0,Switch,9,4,0,
1184,Amiran,Gogoladze,,6.1,170.0,74.0,Switch,14,3,0,
1185,Jonny,Goh,,5.11,155.0,,,3,4,0,
1186,Hannah,Goldy,24K,5.4,115.0,61.0,Orthodox,6,4,0,
1187,Marcelo,Golm,,6.3,249.0,75.0,Orthodox,6,3,0,
1188,Denise,Gomes,Dee,5.2,115.0,63.0,Orthodox,11,3,0,
1189,Sergio,Gomez,,5.6,155.0,,Orthodox,10,3,0,
1190,Frank,Gomez,,5.1,135.0,67.0,Orthodox,10,6,0,
1191,Alan,Gomez,,,155.0,,,2,0,0,
1192,David,Gomez,,,155.0,,,1,2,0,
1193,Ulysses,Gomez,Useless,5.6,125.0,,Orthodox,9,5,0,
1194,Joey,Gomez,KO King,5.1,135.0,73.0,Orthodox,6,2,0,
1195,Luis,Gomez,Tiger Junior,5.7,145.0,68.0,Orthodox,4,1,0,
1196,Joey,Gomez,,5.1,155.0,71.0,Orthodox,7,1,0,
1197,Edson,Gomez,,5.8,170.0,69.0,Switch,6,2,0,
1198,Silvana,Gomez Juarez,La Malvada,5.3,115.0,65.0,Orthodox,11,5,0,
1199,Takanori,Gomi,The Fireball Kid,5.7,155.0,70.0,Southpaw,35,14,0,
1200,William,Gomis,Jaguar,6.0,145.0,73.0,Southpaw,14,3,0,
1201,Akihiro,Gono,,5.7,170.0,68.0,Switch,35,21,8,
1202,Gabriel,Gonzaga,Napao,6.2,242.0,76.0,Orthodox,17,11,0,
1203,Justin,Gonzales,J-Train,5.9,145.0,72.0,Orthodox,6,0,0,
1204,Fernando,Gonzalez,The Menifee Maniac,5.9,170.0,68.0,Southpaw,26,14,0,
1205,Nick,Gonzalez,The Ghost,5.6,155.0,,Orthodox,17,12,0,
1206,Fabian,Gonzalez,,5.1,135.0,,,2,1,0,
1207,Jason,Gonzalez,Nicoya,6.2,155.0,74.0,Southpaw,11,5,0,
1208,Pearl,Gonzalez,,5.4,115.0,,Orthodox,6,3,0,
1209,Jorge,Gonzalez,Street,6.2,205.0,76.0,Orthodox,16,4,0,
1210,Mikey,Gonzalez,Rolls,5.11,155.0,74.0,Orthodox,7,2,0,
1211,Erick,Gonzalez,The Ghost Pepper,5.11,155.0,75.0,Orthodox,14,8,0,
1212,Jennifer,Gonzalez,Jefa,5.2,125.0,,,13,5,0,
1213,Kier,Gooch,,,155.0,,,2,7,0,
1214,Lyman,Good,Cyborg,6.0,170.0,74.0,Orthodox,21,6,0,
1215,Jared,Gooden,NiteTrain,6.0,170.0,77.0,Orthodox,23,10,0,
1216,Gary,Goodridge,Big Daddy,6.3,249.0,,Orthodox,23,22,1,
1217,Jordan,Goodwin,,,155.0,,,0,0,0,
1218,Gerard,Gordeau,,6.5,216.0,,Orthodox,2,2,0,
1219,Eddie,Gordon,Truck,6.0,185.0,76.0,Orthodox,8,4,0,
1220,Jared,Gordon,Flash,5.9,155.0,68.0,Orthodox,21,7,0,
1221,Tebaris,Gordon,Boom,6.1,265.0,,Orthodox,3,1,0,
1222,Malcolm,Gordon,X,5.7,125.0,71.0,Switch,14,8,0,
1223,Tresean,Gore,Mr. Vicious,6.0,185.0,75.0,Switch,6,4,0,
1224,Alex,Gorgees,Hitman,6.2,155.0,74.0,Switch,6,1,0,
1225,Themba,Gorimbo,The Answer,6.1,170.0,77.0,Orthodox,14,5,0,
1226,Tim,Gorman,The Psycho,5.5,135.0,,Southpaw,9,4,0,
1227,Chase,Gormley,,6.3,265.0,,Orthodox,14,6,0,
1228,Jonathan,Goulet,The Road Warrior,6.0,170.0,73.0,Orthodox,23,12,0,
1229,Thibault,Gouti,GT,5.1,155.0,72.0,Orthodox,12,5,0,
1230,Wilson,Gouveia,,6.1,185.0,76.0,Orthodox,14,8,0,
1231,Hugo,Govea,,,,,,0,1,0,
1232,Justin,Governale,The Therapist,,145.0,,,5,5,0,
1233,Damian,Grabowski,The Polish Pitbull,6.1,241.0,75.0,Orthodox,20,5,0,
1234,Patryk,Grabowski,Czapla,,205.0,,,5,1,0,
1235,Royce,Gracie,,6.1,175.0,,Southpaw,15,2,3,
1236,Crosley,Gracie,,5.9,190.0,,Orthodox,2,2,0,
1237,Daniel,Gracie,,6.2,225.0,,Orthodox,5,4,1,
1238,Ralph,Gracie,,5.9,183.0,,Orthodox,6,1,0,
1239,Renzo,Gracie,,5.1,185.0,,Orthodox,13,7,1,
1240,Rickson,Gracie,,5.1,185.0,,Switch,11,0,0,
1241,Rodrigo,Gracie,,6.0,183.0,,Orthodox,6,2,1,
1242,Royler,Gracie,,5.8,150.0,,Southpaw,5,5,1,
1243,Ryan,Gracie,,5.9,200.0,,Orthodox,5,2,0,
1244,Ralek,Gracie,,6.2,210.0,,Orthodox,3,1,0,
1245,Rolles,Gracie,,6.4,242.0,,Orthodox,8,4,0,
1246,Cesar,Gracie,,5.1,181.0,,Orthodox,0,1,0,
1247,Roger,Gracie,,6.4,185.0,79.0,Orthodox,8,2,0,
1248,Igor,Gracie,,5.11,170.0,,,5,4,0,
1249,Neiman,Gracie,,6.0,170.0,,,6,0,0,
1250,Kron,Gracie,,5.9,145.0,70.0,Southpaw,5,3,0,
1251,Bogdan,Grad,The Unleashed,5.8,145.0,70.0,Orthodox,15,3,0,
1252,Steven,Graham,,6.1,290.0,,Orthodox,2,1,0,
1253,Scott,Graham,,6.4,185.0,,Orthodox,3,1,0,
1254,Miranda,Granger,Danger,5.7,115.0,68.0,Orthodox,7,3,0,
1255,Davey,Grant,Dangerous,5.8,135.0,69.0,Orthodox,17,7,0,
1256,Dwight,Grant,The Body Snatcher,6.1,185.0,76.0,Switch,11,6,0,
1257,Alexa,Grasso,,5.5,125.0,66.0,Orthodox,16,5,1,
1258,Tony,Gravely,,5.5,135.0,69.0,Orthodox,23,9,0,
1259,Michael,Graves,,5.1,170.0,71.0,Orthodox,6,0,1,
1260,Shelton,Graves,The Gravedigger,6.2,255.0,76.0,Southpaw,7,3,0,
