,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
2060,Raimond,Magomedaliev,,6.1,170.0,75.0,Orthodox,10,2,0,
2061,Ibragim,Magomedov,,6.0,250.0,,Orthodox,22,8,1,
2062,Rashid,Magomedov,Highlander,5.9,155.0,70.0,Orthodox,20,2,0,
2063,Ruslan,Magomedov,Leopard,6.3,242.0,78.0,Orthodox,14,1,0,
2064,Abus,Magomedov,,6.2,185.0,78.0,Orthodox,28,6,1,
2065,Shara,Magomedov,Bullet,6.2,185.0,73.0,Orthodox,16,1,0,
2066,Murtazali,Magomedov,The Highlight,,145.0,,,9,0,0,
2067,Zabit,Magomedsharipov,,6.1,145.0,73.0,Orthodox,18,1,0,
2068,John,Maguire,The One,5.9,155.0,69.0,Southpaw,24,9,0,
2069,Lolohea,Mahe,,,,,,10,4,1,
2070,Michelle,Maher,,,145.0,,,1,2,0,
2071,,Maheshate,,6.0,155.0,71.0,Orthodox,10,5,0,
2072,Bill,Mahood,The Butcher,6.3,200.0,,Orthodox,20,7,1,
2073,Klayton,Mai,,5.9,125.0,,,8,3,0,
2074,Demian,Maia,,6.1,170.0,72.0,Southpaw,28,11,0,
2075,Jennifer,Maia,,5.4,125.0,64.0,Orthodox,21,10,1,
2076,Nayara,Maia,Capita,5.5,125.0,66.0,Orthodox,7,1,1,
2077,Levan,Makashvili,The Hornet,5.8,145.0,68.0,Orthodox,15,2,1,
2078,John,Makdessi,The Bull,5.8,155.0,68.0,Orthodox,18,9,0,
2079,Islam,Makhachev,,5.1,170.0,70.0,Southpaw,27,1,0,
2080,Aliev,Makhmud,,5.6,195.0,,Southpaw,0,1,0,
2081,Zach,Makovsky,Fun Size,5.4,125.0,64.0,Southpaw,20,8,0,
2082,Azat,Maksum,Qazaq,5.7,125.0,70.0,Southpaw,15,2,0,
2083,Jeremy,Malaterre,,5.11,155.0,,,4,2,0,
2084,Fabio,Maldonado,Caipira de Aco,6.1,205.0,75.0,Orthodox,23,11,0,
2085,Marvin,Maldonado,The Bulldog,5.6,135.0,,,2,4,0,
2086,Bea,Malecki,,5.9,135.0,74.0,Orthodox,4,1,0,
2087,Nazareno,Malegarie,El Tigre,5.8,155.0,,,28,4,0,
2088,Carl,Malenko,,5.11,200.0,,Orthodox,6,4,0,
2089,Jacob,Malkoun,Mamba,5.9,185.0,73.0,Orthodox,8,3,0,
2090,Mike,Malott,Proper,6.1,170.0,73.0,Orthodox,12,2,1,
2091,Regina,Malpica Rivera,Kill Bill,,135.0,,,5,0,0,
2092,Dan,Manasoiu,,,,,,0,0,0,
2093,Troy,Mandaloniz,Rude Boy,5.9,170.0,,Orthodox,3,2,0,
2094,Nate,Maness,Mayhem,5.1,125.0,72.0,Orthodox,16,3,0,
2095,Michael,Mangan,,,155.0,,,0,3,0,
2096,Gary,Mangat,,5.7,135.0,,,15,3,0,
2097,George,Mangos,,5.1,145.0,70.0,Switch,7,1,0,
2098,Melvin,Manhoef,No Mercy,5.9,185.0,,Orthodox,30,14,1,
2099,Melchor,Manibusan,Barracuda,5.5,154.0,,Southpaw,2,4,0,
2100,Jon,Manley,,6.1,170.0,,Orthodox,9,4,0,
2101,Marnic,Mann,The Sawed-Off Savage,5.0,115.0,64.0,Southpaw,6,3,0,
2102,Dylan,Mantello,The Quiet Man,6.1,155.0,73.0,Orthodox,8,4,0,
2103,Chris,Manuel,,5.9,135.0,,Orthodox,9,7,2,
2104,Jimi,Manuwa,Poster Boy,6.1,205.0,79.0,Orthodox,17,6,0,
2105,Dom,Mar Fan,Street Buddha,5.11,155.0,75.0,Orthodox,8,2,0,
2106,Cristiano,Marcello,,5.9,155.0,72.0,Orthodox,13,6,0,
2107,Daniel,Marcos,Soncora,5.7,135.0,69.0,Orthodox,17,1,0,
2108,Jose,Maria,No Chance,5.5,125.0,,Orthodox,37,7,0,
2109,Marcos,Mariano,Dhalsim,6.1,155.0,76.0,Switch,6,6,0,
2110,Enrique,Marin,Wasabi,5.1,170.0,,,10,4,0,
2111,Chepe,Mariscal,Machine Gun,5.7,145.0,69.0,Orthodox,18,6,0,
2112,Ronny,Markes,,6.1,185.0,75.0,Orthodox,17,5,0,
2113,Rory,Markham,,6.0,170.0,71.0,Orthodox,17,6,0,
2114,Randa,Markos,Quiet Storm,5.4,115.0,63.0,Orthodox,11,12,1,
2115,Christina,Marks,,5.7,125.0,69.0,Orthodox,8,9,0,
2116,Brendon,Marotte,The Kid,5.9,145.0,70.0,Orthodox,8,3,0,
2117,Nate,Marquardt,The Great,6.0,185.0,74.0,Orthodox,35,19,2,
2118,Danilo,Marques,,6.6,205.0,77.0,Orthodox,11,4,0,
2119,Julian,Marquez,The Cuban Missile Crisis,6.2,185.0,72.0,Orthodox,9,6,0,
2120,Carmelo,Marrero,The Fury,6.0,205.0,73.0,Orthodox,16,6,0,
2121,Cesar,Marscucci,,,,,,3,2,0,
2122,John,Marsh,,6.0,265.0,,Orthodox,8,7,0,
2123,CJ,Marsh,,,,,,5,7,0,
2124,Eliot,Marshall,Fire,6.2,205.0,77.0,Orthodox,10,4,0,
2125,David,Marshall,,6.2,170.0,,,8,4,0,
2126,Francis,Marshall,Fire,5.9,145.0,72.0,Orthodox,8,3,0,
2127,Jack,Marshman,The Hammer,6.0,185.0,73.0,Orthodox,23,10,0,
2128,Terry,Martin,,5.8,185.0,71.0,Orthodox,23,11,0,
2129,Eric,Martin,,,,,,0,1,0,
2130,Justin,Martin,,6.0,185.0,,,4,3,0,
2131,Dave,Martin,,6.0,205.0,,,0,2,0,
2132,Joe,Martin,,5.9,170.0,,,6,8,0,
2133,Anthony Rocco,Martin,,6.0,170.0,73.0,Orthodox,17,6,0,
2134,Mallory,Martin,,5.4,115.0,63.0,Orthodox,7,5,0,
2135,Michal,Martinek,,6.2,230.0,,Southpaw,7,1,0,
2136,Rainy,Martinez,,6.0,199.0,,Orthodox,0,2,0,
2137,Danny,Martinez,The Gremlin,5.6,125.0,67.0,Orthodox,21,8,0,
2138,Alonzo,Martinez,Zo Diddy,5.1,155.0,,,42,20,1,
2139,Henry,Martinez,Sicario,5.7,155.0,69.0,Southpaw,9,4,0,
2140,Jonathan,Martinez,Dragon,5.8,135.0,70.0,Southpaw,19,6,0,
2141,Poppies,Martinez,The Tachi Kid,5.9,145.0,,,29,11,0,
2142,Andrew,Martinez,Mickey D,5.9,215.0,,,9,6,0,
2143,Mana,Martinez,ManaBoi,5.1,135.0,70.0,Orthodox,10,4,0,
2144,Victor,Martinez,The Brick,5.8,155.0,70.0,Orthodox,13,6,0,
2145,Roque,Martinez,,5.1,250.0,72.0,Orthodox,15,8,2,
2146,Melissa,Martinez,Super Mely,5.2,115.0,66.0,Southpaw,8,2,0,
2147,Julieta,Martinez,The Ninja Ferret,5.1,115.0,62.0,Orthodox,8,0,0,
2148,David,Martinez,Black Spartan,5.5,135.0,67.0,Orthodox,12,1,0,
2149,Adriano,Martins,,5.1,155.0,72.0,Southpaw,28,9,0,
2150,Lucas,Martins,Mineiro,6.0,145.0,72.0,Southpaw,19,3,0,
2151,Max,Martyniouk,Payne,,155.0,,,1,1,0,
2152,Bristol,Marunde,,6.1,170.0,75.0,Orthodox,16,10,0,
2153,Shoji,Maruyama,,5.7,139.0,,Orthodox,12,9,1,
2154,Kazuma,Maruyama,Gluttony,5.11,155.0,72.0,Orthodox,11,7,0,
2155,Islem,Masraf,Lightning,6.0,205.0,74.0,Southpaw,3,1,0,
2156,Mike,Massenzio,The Master of Disaster,6.2,185.0,73.0,Southpaw,13,9,0,
2157,Jameel,Massouh,,5.1,145.0,72.0,Orthodox,26,9,0,
2158,Tiffany,Masters,Rainbow Renegade,5.3,115.0,65.0,Orthodox,2,1,0,
2159,Jorge,Masvidal,Gamebred,5.11,170.0,74.0,Orthodox,35,17,0,
2160,Al,Matavao,Sweetness,5.8,205.0,67.0,Orthodox,8,3,0,
2161,Tateki,Matsuda,Tech,5.7,125.0,,Orthodox,13,8,0,
2162,Arisa,Matsuda,,5.3,115.0,64.0,Orthodox,7,0,0,
2163,Daijiro,Matsui,,5.9,200.0,,Orthodox,13,29,7,
2164,Toki,Matsui,,5.6,125.0,65.0,Orthodox,6,1,0,
2165,Koichiro,Matsumoto,,5.7,145.0,,,15,3,1,
2166,Jean,Matsumoto,,5.6,135.0,68.0,Orthodox,17,1,0,
2167,Koyomi,Matsushima,,5.7,145.0,66.0,Orthodox,13,6,0,
2168,Naoki,Matsushita,,5.6,155.0,,Orthodox,12,16,11,
2169,AJ,Matthews,,5.11,185.0,,,8,7,0,
2170,Jake,Matthews,The Celtic Kid,5.11,170.0,73.0,Orthodox,22,7,0,
2171,Connor,Matthews,The Controller,5.8,145.0,71.0,Switch,7,4,0,
2172,Claudio,Mattos,Popeye,,185.0,,Orthodox,5,4,0,
2173,Francesco,Maturi,,,,,,0,1,0,
2174,Vladimir,Matyushenko,The Janitor,6.0,205.0,74.0,Orthodox,27,8,0,
2175,Miranda,Maverick,Fear The,5.3,125.0,65.0,Southpaw,17,6,0,
2176,Nick,Maximov,,6.0,185.0,76.0,Southpaw,8,2,0,
2177,Elaina,Maxwell,Beef,5.8,145.0,,Orthodox,7,4,0,
2178,Jeremy,May,,6.1,185.0,,,13,10,0,
2179,Jack,May,The Outlaw,6.8,255.0,,Switch,9,3,0,
2180,Don'Tale,Mayes,Lord Kong,6.6,260.0,81.0,Orthodox,11,9,0,
2181,Gray,Maynard,,5.9,155.0,70.0,Orthodox,13,7,1,
2182,Brooke,Mayo,The Bully,5.7,125.0,,,0,1,0,
2183,Gina,Mazany,Danger,5.6,125.0,68.0,Southpaw,7,6,0,
2184,Sabina,Mazo,Colombian Queen,5.7,125.0,70.0,Orthodox,9,4,0,
2185,Francesco,Mazzeo,,6.3,205.0,75.0,Orthodox,4,1,0,
2186,Scott,McAfee,,5.8,155.0,,Orthodox,14,7,0,
2187,Bobby,McAndrews,,,,,Orthodox,1,3,0,
2188,Michael,McBride,,6.1,155.0,,Orthodox,8,3,0,
2189,Ian,McCall,Uncle Creepy,5.5,125.0,64.0,Orthodox,13,5,1,
2190,Molly,McCann,Meatball,5.4,115.0,62.0,Orthodox,14,8,0,
2191,Charles,McCarthy,Chainsaw,5.1,185.0,71.0,Orthodox,10,5,0,
